num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1060 	0.1774122504  	0.1774122504 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1555 	0.1784945801  	0.1784945801 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
221 	0.1785789754  	0.1785789754 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
515 	0.1788594684  	0.1788594684 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1157 	0.1804007398  	0.1804007398 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
977 	0.1801680426  	0.1801680426 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
489 	0.1807462625  	0.1807462625 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1537 	0.1797259952  	0.1797259952 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1797 	0.1815353313  	0.1815353313 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1642 	0.1820770678  	0.1820770678 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
702 	0.1819242582  	0.1819242582 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1313 	0.1822765946  	0.1822765946 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1730 	0.1837792202  	0.1837792202 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1444 	0.1838699765  	0.1838699765 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
760 	0.1841374877  	0.1841374877 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1832 	0.1847754233  	0.1847754233 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
349 	0.1847886791  	0.1847886791 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1508 	0.1852340725  	0.1852340725 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1020 	0.1856078096  	0.1856078096 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
