num 	nn0 	nn0 	age_value 
1248 	0.2104659998 	0.2104659998 	4.975979e-03 	
236 	0.2104575074 	0.2104575074 	4.975979e-03 	
889 	0.210478112 	0.210478112 	4.975979e-03 	
388 	0.2105491899 	0.2105491899 	4.975979e-03 	
1405 	0.2106346626 	0.2106346626 	4.975979e-03 	
731 	0.2110507294 	0.2110507294 	4.975979e-03 	
654 	0.2112233199 	0.2112233199 	4.975979e-03 	
571 	0.2112943099 	0.2112943099 	4.975979e-03 	
947 	0.2114174632 	0.2114174632 	4.975979e-03 	
1290 	0.2117256731 	0.2117256731 	4.975979e-03 	
1125 	0.2117445818 	0.2117445818 	4.975979e-03 	
749 	0.2123268881 	0.2123268881 	4.975979e-03 	
908 	0.2125956255 	0.2125956255 	4.975979e-03 	
724 	0.2126991835 	0.2126991835 	4.975979e-03 	
1045 	0.2127949981 	0.2127949981 	4.975979e-03 	
19 	0.2129933869 	0.2129933869 	4.975979e-03 	
1581 	0.2130460804 	0.2130460804 	4.975979e-03 	
1817 	0.213274569 	0.213274569 	4.975979e-03 	
1203 	0.213645778 	0.213645778 	4.975979e-03 	
446 	0.2138046824 	0.2138046824 	4.975979e-03 	
1955 	0.2140208754 	0.2140208754 	4.975979e-03 	
1688 	0.2142805651 	0.2142805651 	4.975979e-03 	
1651 	0.2146492348 	0.2146492348 	4.975979e-03 	
434 	0.214282579 	0.214282579 	4.975979e-03 	
1723 	0.214623515 	0.214623515 	4.975979e-03 	
992 	0.2147179041 	0.2147179041 	4.975979e-03 	
1822 	0.2146732035 	0.2146732035 	4.975979e-03 	
919 	0.2149076674 	0.2149076674 	4.975979e-03 	
986 	0.2152319864 	0.2152319864 	4.975979e-03 	
1645 	0.2152884283 	0.2152884283 	4.975979e-03 	
525 	0.2155265151 	0.2155265151 	4.975979e-03 	
362 	0.2153289657 	0.2153289657 	4.975979e-03 	
1780 	0.2153529739 	0.2153529739 	4.975979e-03 	
683 	0.2149504221 	0.2149504221 	4.975979e-03 	
443 	0.2154615661 	0.2154615661 	4.975979e-03 	
364 	0.2155221899 	0.2155221899 	4.975979e-03 	
1354 	0.2159861797 	0.2159861797 	4.975979e-03 	
609 	0.2167860113 	0.2167860113 	4.975979e-03 	
5 	0.2169486356 	0.2169486356 	4.975979e-03 	
1695 	0.2160555013 	0.2160555013 	4.975979e-03 	
776 	0.2172222501 	0.2172222501 	4.975979e-03 	
1429 	0.2171813581 	0.2171813581 	4.975979e-03 	
1038 	0.2173868787 	0.2173868787 	4.975979e-03 	
1815 	0.2174771091 	0.2174771091 	4.975979e-03 	
365 	0.2184337093 	0.2184337093 	4.975979e-03 	
1786 	0.2187651935 	0.2187651935 	4.975979e-03 	
23 	0.2177491943 	0.2177491943 	4.975979e-03 	
1991 	0.2186559515 	0.2186559515 	4.975979e-03 	
264 	0.2186918355 	0.2186918355 	4.975979e-03 	
998 	0.2182515933 	0.2182515933 	4.975979e-03 	
1428 	0.219781812 	0.219781812 	4.975979e-03 	
898 	0.2199973084 	0.2199973084 	4.975979e-03 	
206 	0.2198105164 	0.2198105164 	4.975979e-03 	
117 	0.218854684 	0.218854684 	4.975979e-03 	
534 	0.2194896398 	0.2194896398 	4.975979e-03 	
207 	0.2195760556 	0.2195760556 	4.975979e-03 	
699 	0.2208118759 	0.2208118759 	4.975979e-03 	
660 	0.220160605 	0.220160605 	4.975979e-03 	
1276 	0.2210582838 	0.2210582838 	4.975979e-03 	
1498 	0.2207085427 	0.2207085427 	4.975979e-03 	
522 	0.2212377664 	0.2212377664 	4.975979e-03 	
1568 	0.2203549654 	0.2203549654 	4.975979e-03 	
1219 	0.2214379358 	0.2214379358 	4.975979e-03 	
1164 	0.2214739457 	0.2214739457 	4.975979e-03 	
1434 	0.2218557981 	0.2218557981 	4.975979e-03 	
580 	0.2218583502 	0.2218583502 	4.975979e-03 	
1042 	0.2219885081 	0.2219885081 	4.975979e-03 	
30 	0.2215226362 	0.2215226362 	4.975979e-03 	
431 	0.2223852877 	0.2223852877 	4.975979e-03 	
775 	0.2226320491 	0.2226320491 	4.975979e-03 	
682 	0.2229722135 	0.2229722135 	4.975979e-03 	
544 	0.2230829958 	0.2230829958 	4.975979e-03 	
646 	0.222133327 	0.222133327 	4.975979e-03 	
1681 	0.2236876397 	0.2236876397 	4.975979e-03 	
962 	0.2234448568 	0.2234448568 	4.975979e-03 	
729 	0.2241301109 	0.2241301109 	4.975979e-03 	
1668 	0.2241851772 	0.2241851772 	4.975979e-03 	
163 	0.2242455128 	0.2242455128 	4.975979e-03 	
1725 	0.2232459106 	0.2232459106 	4.975979e-03 	
1795 	0.224953859 	0.224953859 	4.975979e-03 	
1174 	0.2254320433 	0.2254320433 	4.975979e-03 	
369 	0.225889688 	0.225889688 	4.975979e-03 	
744 	0.2259831089 	0.2259831089 	4.975979e-03 	
247 	0.2259831487 	0.2259831487 	4.975979e-03 	
887 	0.2260352618 	0.2260352618 	4.975979e-03 	
1332 	0.2263407502 	0.2263407502 	4.975979e-03 	
1794 	0.2264504503 	0.2264504503 	4.975979e-03 	
170 	0.2267730565 	0.2267730565 	4.975979e-03 	
1739 	0.2270520717 	0.2270520717 	4.975979e-03 	
115 	0.2270018364 	0.2270018364 	4.975979e-03 	
1753 	0.2271735696 	0.2271735696 	4.975979e-03 	
1416 	0.2275539106 	0.2275539106 	4.975979e-03 	
1564 	0.2283641865 	0.2283641865 	4.975979e-03 	
1375 	0.2277214856 	0.2277214856 	4.975979e-03 	
1521 	0.2276619055 	0.2276619055 	4.975979e-03 	
604 	0.2274134424 	0.2274134424 	4.975979e-03 	
282 	0.2278214072 	0.2278214072 	4.975979e-03 	
1654 	0.2290648944 	0.2290648944 	4.975979e-03 	
1150 	0.2286839623 	0.2286839623 	4.975979e-03 	
32 	0.2287223723 	0.2287223723 	4.975979e-03 	
973 	0.2287039455 	0.2287039455 	4.975979e-03 	
461 	0.2284297424 	0.2284297424 	4.975979e-03 	
1701 	0.229480948 	0.229480948 	4.975979e-03 	
637 	0.2289378155 	0.2289378155 	4.975979e-03 	
616 	0.2295607627 	0.2295607627 	4.975979e-03 	
1643 	0.2301215297 	0.2301215297 	4.975979e-03 	
110 	0.2300159917 	0.2300159917 	4.975979e-03 	
1241 	0.2297206341 	0.2297206341 	4.975979e-03 	
1116 	0.2306200402 	0.2306200402 	4.975979e-03 	
137 	0.2306357688 	0.2306357688 	4.975979e-03 	
1457 	0.2303882092 	0.2303882092 	4.975979e-03 	
741 	0.230972029 	0.230972029 	4.975979e-03 	
488 	0.2301833485 	0.2301833485 	4.975979e-03 	
128 	0.2310367031 	0.2310367031 	4.975979e-03 	
1887 	0.231167204 	0.231167204 	4.975979e-03 	
107 	0.2312277554 	0.2312277554 	4.975979e-03 	
1844 	0.2312984705 	0.2312984705 	4.975979e-03 	
1714 	0.2316607899 	0.2316607899 	4.975979e-03 	
1297 	0.2318020404 	0.2318020404 	4.975979e-03 	
328 	0.2322082302 	0.2322082302 	4.975979e-03 	
226 	0.2319830584 	0.2319830584 	4.975979e-03 	
695 	0.2323013185 	0.2323013185 	4.975979e-03 	
1145 	0.2322320886 	0.2322320886 	4.975979e-03 	
165 	0.2326643387 	0.2326643387 	4.975979e-03 	
1080 	0.232557642 	0.232557642 	4.975979e-03 	
1067 	0.2325297348 	0.2325297348 	4.975979e-03 	
1136 	0.2330485098 	0.2330485098 	4.975979e-03 	
129 	0.2328875099 	0.2328875099 	4.975979e-03 	
1897 	0.2330350888 	0.2330350888 	4.975979e-03 	
1144 	0.2332927298 	0.2332927298 	4.975979e-03 	
275 	0.2334937198 	0.2334937198 	4.975979e-03 	
1283 	0.2336249459 	0.2336249459 	4.975979e-03 	
193 	0.2333265515 	0.2333265515 	4.975979e-03 	
1895 	0.2331866142 	0.2331866142 	4.975979e-03 	
397 	0.2333378929 	0.2333378929 	4.975979e-03 	
851 	0.2337028553 	0.2337028553 	4.975979e-03 	
1030 	0.2338713886 	0.2338713886 	4.975979e-03 	
866 	0.2340146952 	0.2340146952 	4.975979e-03 	
183 	0.2340719196 	0.2340719196 	4.975979e-03 	
486 	0.2340871832 	0.2340871832 	4.975979e-03 	
495 	0.234308328 	0.234308328 	4.975979e-03 	
1519 	0.2315200605 	0.2315200605 	4.975979e-03 	
1474 	0.2344123706 	0.2344123706 	4.975979e-03 	
383 	0.2347763188 	0.2347763188 	4.975979e-03 	
211 	0.2347434421 	0.2347434421 	4.975979e-03 	
274 	0.2348181288 	0.2348181288 	4.975979e-03 	
1615 	0.2348534084 	0.2348534084 	4.975979e-03 	
1396 	0.2349370721 	0.2349370721 	4.975979e-03 	
1565 	0.2350060776 	0.2350060776 	4.975979e-03 	
1470 	0.2351295518 	0.2351295518 	4.975979e-03 	
1360 	0.2354585146 	0.2354585146 	4.975979e-03 	
790 	0.235266148 	0.235266148 	4.975979e-03 	
1889 	0.2356505339 	0.2356505339 	4.975979e-03 	
934 	0.2356721493 	0.2356721493 	4.975979e-03 	
943 	0.2360580715 	0.2360580715 	4.975979e-03 	
1983 	0.2361065025 	0.2361065025 	4.975979e-03 	
430 	0.2358634007 	0.2358634007 	4.975979e-03 	
140 	0.2365543961 	0.2365543961 	4.975979e-03 	
347 	0.237432672 	0.237432672 	4.975979e-03 	
1006 	0.2367886876 	0.2367886876 	4.975979e-03 	
1750 	0.2373336173 	0.2373336173 	4.975979e-03 	
1958 	0.2374621463 	0.2374621463 	4.975979e-03 	
64 	0.2377053105 	0.2377053105 	4.975979e-03 	
1141 	0.2362307992 	0.2362307992 	4.975979e-03 	
1123 	0.236551415 	0.236551415 	4.975979e-03 	
685 	0.2364909548 	0.2364909548 	4.975979e-03 	
1620 	0.2365344366 	0.2365344366 	4.975979e-03 	
912 	0.2376454283 	0.2376454283 	4.975979e-03 	
740 	0.2363673197 	0.2363673197 	4.975979e-03 	
1311 	0.2363652049 	0.2363652049 	4.975979e-03 	
1982 	0.2367814015 	0.2367814015 	4.975979e-03 	
705 	0.2377994769 	0.2377994769 	4.975979e-03 	
920 	0.2380516987 	0.2380516987 	4.975979e-03 	
1007 	0.2385141432 	0.2385141432 	4.975979e-03 	
777 	0.238723917 	0.238723917 	4.975979e-03 	
425 	0.2388267573 	0.2388267573 	4.975979e-03 	
1592 	0.238895023 	0.238895023 	4.975979e-03 	
1703 	0.2392484123 	0.2392484123 	4.975979e-03 	
1202 	0.2393734399 	0.2393734399 	4.975979e-03 	
1340 	0.2394476088 	0.2394476088 	4.975979e-03 	
1246 	0.2393020218 	0.2393020218 	4.975979e-03 	
356 	0.2399990828 	0.2399990828 	4.975979e-03 	
795 	0.2392055384 	0.2392055384 	4.975979e-03 	
804 	0.2403732411 	0.2403732411 	4.975979e-03 	
1916 	0.2401145459 	0.2401145459 	4.975979e-03 	
1859 	0.2404368804 	0.2404368804 	4.975979e-03 	
386 	0.240792945 	0.240792945 	4.975979e-03 	
422 	0.2411107513 	0.2411107513 	4.975979e-03 	
453 	0.2412048412 	0.2412048412 	4.975979e-03 	
983 	0.2412977347 	0.2412977347 	4.975979e-03 	
1437 	0.241473085 	0.241473085 	4.975979e-03 	
1941 	0.2416415589 	0.2416415589 	4.975979e-03 	
458 	0.241559554 	0.241559554 	4.975979e-03 	
1398 	0.2420180571 	0.2420180571 	4.975979e-03 	
283 	0.2424450286 	0.2424450286 	4.975979e-03 	
1402 	0.2422250458 	0.2422250458 	4.975979e-03 	
1803 	0.2422435535 	0.2422435535 	4.975979e-03 	
214 	0.2428149876 	0.2428149876 	4.975979e-03 	
1493 	0.243392442 	0.243392442 	4.975979e-03 	
1634 	0.2426138932 	0.2426138932 	4.975979e-03 	
96 	0.2438403456 	0.2438403456 	4.975979e-03 	
1255 	0.2439362433 	0.2439362433 	4.975979e-03 	
1211 	0.2426923513 	0.2426923513 	4.975979e-03 	
817 	0.2439705128 	0.2439705128 	4.975979e-03 	
1210 	0.244027599 	0.244027599 	4.975979e-03 	
300 	0.2441703142 	0.2441703142 	4.975979e-03 	
1479 	0.2441730174 	0.2441730174 	4.975979e-03 	
56 	0.2445711289 	0.2445711289 	4.975979e-03 	
942 	0.2447900967 	0.2447900967 	4.975979e-03 	
508 	0.2448828791 	0.2448828791 	4.975979e-03 	
1802 	0.244945755 	0.244945755 	4.975979e-03 	
1285 	0.2450328751 	0.2450328751 	4.975979e-03 	
1819 	0.2455068094 	0.2455068094 	4.975979e-03 	
710 	0.2454976803 	0.2454976803 	4.975979e-03 	
713 	0.2456215838 	0.2456215838 	4.975979e-03 	
1213 	0.2463686225 	0.2463686225 	4.975979e-03 	
450 	0.2455530362 	0.2455530362 	4.975979e-03 	
1205 	0.2455730904 	0.2455730904 	4.975979e-03 	
1526 	0.246058815 	0.246058815 	4.975979e-03 	
1355 	0.2455792857 	0.2455792857 	4.975979e-03 	
971 	0.2462921869 	0.2462921869 	4.975979e-03 	
901 	0.2453279645 	0.2453279645 	4.975979e-03 	
266 	0.245187622 	0.245187622 	4.975979e-03 	
1177 	0.2465518925 	0.2465518925 	4.975979e-03 	
1864 	0.2467137757 	0.2467137757 	4.975979e-03 	
1209 	0.246523138 	0.246523138 	4.975979e-03 	
76 	0.2467349498 	0.2467349498 	4.975979e-03 	
17 	0.2463782741 	0.2463782741 	4.975979e-03 	
945 	0.2468386159 	0.2468386159 	4.975979e-03 	
718 	0.2468283665 	0.2468283665 	4.975979e-03 	
876 	0.2470010313 	0.2470010313 	4.975979e-03 	
1187 	0.2477308127 	0.2477308127 	4.975979e-03 	
1191 	0.2470594703 	0.2470594703 	4.975979e-03 	
143 	0.2471268317 	0.2471268317 	4.975979e-03 	
832 	0.2464290001 	0.2464290001 	4.975979e-03 	
1368 	0.2469838968 	0.2469838968 	4.975979e-03 	
1217 	0.2473952727 	0.2473952727 	4.975979e-03 	
1992 	0.247738652 	0.247738652 	4.975979e-03 	
1974 	0.2477424906 	0.2477424906 	4.975979e-03 	
1977 	0.2477927037 	0.2477927037 	4.975979e-03 	
1584 	0.2481689944 	0.2481689944 	4.975979e-03 	
1676 	0.2484826249 	0.2484826249 	4.975979e-03 	
787 	0.2487011941 	0.2487011941 	4.975979e-03 	
215 	0.2485804856 	0.2485804856 	4.975979e-03 	
629 	0.2496692149 	0.2496692149 	4.975979e-03 	
858 	0.2497862756 	0.2497862756 	4.975979e-03 	
812 	0.2479350445 	0.2479350445 	4.975979e-03 	
68 	0.2477725895 	0.2477725895 	4.975979e-03 	
1635 	0.2498426304 	0.2498426304 	4.975979e-03 	
417 	0.2498463416 	0.2498463416 	4.975979e-03 	
840 	0.2501651454 	0.2501651454 	4.975979e-03 	
1105 	0.2509401633 	0.2509401633 	4.975979e-03 	
1346 	0.2504359165 	0.2504359165 	4.975979e-03 	
1969 	0.2513851151 	0.2513851151 	4.975979e-03 	
1256 	0.2499217752 	0.2499217752 	4.975979e-03 	
1266 	0.2510913213 	0.2510913213 	4.975979e-03 	
1233 	0.2513896411 	0.2513896411 	4.975979e-03 	
40 	0.2514123282 	0.2514123282 	4.975979e-03 	
674 	0.2516572013 	0.2516572013 	4.975979e-03 	
1545 	0.2519839398 	0.2519839398 	4.975979e-03 	
675 	0.25205632 	0.25205632 	4.975979e-03 	
377 	0.2521419957 	0.2521419957 	4.975979e-03 	
9 	0.251486437 	0.251486437 	4.975979e-03 	
635 	0.2523615455 	0.2523615455 	4.975979e-03 	
148 	0.2522148614 	0.2522148614 	4.975979e-03 	
1684 	0.2525324082 	0.2525324082 	4.975979e-03 	
769 	0.2525103432 	0.2525103432 	4.975979e-03 	
746 	0.2524168216 	0.2524168216 	4.975979e-03 	
1133 	0.2528229314 	0.2528229314 	4.975979e-03 	
168 	0.2528510045 	0.2528510045 	4.975979e-03 	
1131 	0.2529387611 	0.2529387611 	4.975979e-03 	
1501 	0.252921308 	0.252921308 	4.975979e-03 	
1108 	0.2525736029 	0.2525736029 	4.975979e-03 	
1324 	0.2529694385 	0.2529694385 	4.975979e-03 	
1408 	0.2531218851 	0.2531218851 	4.975979e-03 	
