num 	tox 	h0 	age_value 
431 	5.5e-09 	59643.34286 	6.959056e-03 	
1550 	5.5e-09 	59799.9679 	6.940829e-03 	
3 	5.5e-09 	59971.2138 	6.921010e-03 	
1408 	5.5e-09 	59982.26956 	6.919734e-03 	
1889 	5.5e-09 	60442.10422 	6.867090e-03 	
816 	5.5e-09 	60165.84573 	6.898621e-03 	
494 	5.5e-09 	60011.20285 	6.916398e-03 	
364 	5.5e-09 	60448.98749 	6.866308e-03 	
1534 	5.5e-09 	60481.74403 	6.862589e-03 	
339 	5.5e-09 	60668.3754 	6.841478e-03 	
1429 	5.5e-09 	61043.06446 	6.799485e-03 	
668 	5.5e-09 	61299.94508 	6.770991e-03 	
1949 	5.5e-09 	61432.86654 	6.756341e-03 	
1689 	5.5e-09 	61577.99854 	6.740417e-03 	
1802 	5.5e-09 	61627.0393 	6.735053e-03 	
1404 	5.5e-09 	61894.63339 	6.705935e-03 	
1254 	5.5e-09 	61679.75018 	6.729297e-03 	
1767 	5.5e-09 	61935.61795 	6.701497e-03 	
389 	5.5e-09 	61585.1338 	6.739636e-03 	
1715 	5.5e-09 	61989.10117 	6.695715e-03 	
868 	5.5e-09 	62412.76632 	6.650264e-03 	
1778 	5.5e-09 	62510.81162 	6.639833e-03 	
263 	5.5e-09 	62621.49217 	6.628098e-03 	
22 	5.5e-09 	62018.73239 	6.692516e-03 	
920 	5.5e-09 	62475.70195 	6.643565e-03 	
608 	5.5e-09 	62688.82956 	6.620978e-03 	
1954 	5.5e-09 	62987.0765 	6.589628e-03 	
1867 	5.5e-09 	62927.45521 	6.595871e-03 	
1993 	5.5e-09 	63159.52137 	6.571636e-03 	
1211 	5.5e-09 	63204.11053 	6.567000e-03 	
234 	5.5e-09 	63117.49286 	6.576012e-03 	
256 	5.5e-09 	63295.391 	6.557529e-03 	
1615 	5.5e-09 	63556.84656 	6.530553e-03 	
545 	5.5e-09 	63652.39651 	6.520750e-03 	
913 	5.5e-09 	63438.15209 	6.542772e-03 	
1816 	5.5e-09 	63730.30097 	6.512779e-03 	
4 	5.5e-09 	63787.71369 	6.506917e-03 	
125 	5.5e-09 	63806.54108 	6.504997e-03 	
171 	5.5e-09 	63898.29656 	6.495656e-03 	
906 	5.5e-09 	63855.70341 	6.499989e-03 	
1529 	5.5e-09 	64030.85255 	6.482209e-03 	
1030 	5.5e-09 	64091.044 	6.476121e-03 	
993 	5.5e-09 	64110.66522 	6.474139e-03 	
148 	5.5e-09 	64232.33986 	6.461875e-03 	
